date,raw_text,player_name,clubs_mentioned,potential_suitors,assists,native_country,54,domestic_club_goals,objects,team,injured,chairman,idol,desired_wage,estimated_wage,contract_value,Premier,start_of_2021,boss,compared_to,market_value,manager,current team,sport,potential_transfer_fee,release_clause,preferred_option,not_prepared_to_pay_a_sizeable_transfer_fee,suspension_reason,international_team,retirement_plans,transfer_fee,fee,loan_with_option_to_buy,expected_cost,position,previous_clubs,contract_expiration,field,weekly_wages,contract_length,coming,player_age,currency,contract_ends,value,valuation,club,next_season,league,available_for,career_span,loan,player_nationality,level,teams_mentioned,destination,tournament,emotion,estimated_value,team_mentioned,contract_details,former_club,expected_return,object,loan_status,weekly_salary,expected_transfer_fee,international_caps,suspended,international_goals,preferred_move, Galatasaray,hopes_for_long-term_future_with_club,city_players_positions,role,comparison,injury,country,city_players_ages,last_club,transfer_status,goals_scored,ceremony,player_value,contract_status,contract,potential_loan,external-link,salary_demand,release_cause,goals,nationality,contract_duration,status,loan_spell,parent_club,sources,current_team,city_players,source,out,this,years_at_manchester_united,yearly_pay_packet,age,transfer_budget,father,contract_situation,price_tag,secures_football,native country,estimated_transfer_fee,advice,loan_start_date,domestic_club_assists,cost,agent,sibling,yet,rejecting_offers,other_fields,current_deal,injury_record,result,suggest,willing_to_meet_salary_demands,potential_signings,estimated_cost,current_club,player_position,proposed_salary,last_played,loan_club,option_for_further_year,previous_club,salary,preferred_side,loaned,current_weekly_wages,price,remains_manager,games_played,salary_demands,Belgium,contract_expires,transfer_value,manager_name,news_id
1 June 2021,Pochettino wants to return to Spurs but PSG have triggered an extension in his deal in an attempt to keep him.,Pochettino,"['Spurs', 'PSG']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530742.0
1 June 2021,"Manchester City could offer at least one player as part of a deal for Kane, with Spurs keen on Brazil striker Gabriel Jesus, 24, and Netherlands defender Nathan Ake, 26.",Gabriel Jesus,"['Manchester City', 'Spurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530743.0
1 June 2021,"Manchester City could offer at least one player as part of a deal for Kane, with Spurs keen on Brazil striker Gabriel Jesus, 24, and Netherlands defender Nathan Ake, 26.",Nathan Ake,['Spurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530743.0
1 June 2021,"Manchester United are also interested in Kane and Grealish, while the two clubs are also set to compete for West Ham and England's 22-year-old central midfielder Declan Rice.",Harry Kane,"['Manchester United', 'Tottenham Hotspur']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530744.0
1 June 2021,"Manchester United are also interested in Kane and Grealish, while the two clubs are also set to compete for West Ham and England's 22-year-old central midfielder Declan Rice.",Jack Grealish,"['Manchester United', 'Aston Villa']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530744.0
1 June 2021,"Manchester United are also interested in Kane and Grealish, while the two clubs are also set to compete for West Ham and England's 22-year-old central midfielder Declan Rice.",Declan Rice,"['Manchester United', 'West Ham United']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530744.0
1 June 2021,"Pep Guardiola and Manchester City are considering offering Real Madrid and Spain defender Sergio Ramos, 35, a two-year deal when his contract expires this summer.",Sergio Ramos,"['Real Madrid', 'Manchester City']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530745.0
1 June 2021,"Manchester City are also favourites to sign midfielder Sergi Roberto, 29, from Barcelona.",Sergi Roberto,"['Manchester City', 'Barcelona']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530746.0
1 June 2021,"Chelsea and AC Milan have reached an agreement to sign England defender Fikayo Tomori, 23, on a permanent basis after a successful loan spell last season.",Fikayo Tomori,"['Chelsea', 'AC Milan']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530747.0
1 June 2021,Winning the Champions League for Chelsea triggered an automatic extension clause in manager Thomas Tuchel's contract.,Thomas Tuchel,['Chelsea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530748.0
1 June 2021,"Leicester City lead the race to sign Celtic's French striker Odsonne Edouard, 23.",Odsonne Edouard,"['Leicester City', 'Celtic']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530749.0
1 June 2021,"Newcastle United are keen on loan moves for Chelsea's England forward Tammy Abraham, 23, and Scotland midfielder Billy Gilmour, 19.",Tammy Abraham,"['Newcastle United', 'Chelsea']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530750.0
1 June 2021,"Newcastle United are keen on loan moves for Chelsea's England forward Tammy Abraham, 23, and Scotland midfielder Billy Gilmour, 19.",Billy Gilmour,"['Newcastle United', 'Chelsea']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530750.0
1 June 2021,"Liverpool boss Jurgen Klopp is planning for up to nine players leaving Anfield this summer, including 29-year-old Switzerland midfielder Xherdan Shaqiri and Belgium striker Divock Origi, 26.",Xherdan Shaqiri,['Liverpool'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530751.0
1 June 2021,"Liverpool boss Jurgen Klopp is planning for up to nine players leaving Anfield this summer, including 29-year-old Switzerland midfielder Xherdan Shaqiri and Belgium striker Divock Origi, 26.",Divock Origi,['Liverpool'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530751.0
1 June 2021,"Barcelona have proposed that Brazil midfielder Philippe Coutinho, 27, returns to Liverpool to cover the remaining fees they owe the Merseyside club from his 2018 transfer.",Philippe Coutinho,"['Barcelona', 'Liverpool']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530752.0
1 June 2021,"Chelsea and Manchester United are both willing to meet Real Madrid's £70m asking price for 28-year-old France defender Raphael Varane, and both will double his wages.",Raphael Varane,"['Chelsea', 'Manchester United']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530753.0
1 June 2021,"Real Madrid's Belgium winger Eden Hazard, 30, has ruled out a return to the Premier League this summer.",Eden Hazard,['Real Madrid'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530754.0
1 June 2021,"Bayern Munich and Poland striker Robert Lewandowski, 32, has refused to rule out a move amid interest from Chelsea, Barcelona and Real Madrid.",Robert Lewandowski,"['Bayern Munich', 'Chelsea', 'Barcelona', 'Real Madrid']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530755.0
1 June 2021,"AC Milan want to sign Chelsea and France striker Olivier Giroud, 34, when his contract expires at the end of June.",Olivier Giroud,"['AC Milan', 'Chelsea']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530756.0
1 June 2021,"Everton are keen on signing former Chelsea winger Pedro, 33, from Roma.",Pedro,"['Everton', 'Chelsea', 'Roma']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530757.0
1 June 2021,"Former Leicester City striker and coach Kevin Phillips thinks the club will be powerless to stop Belgium midfielder Youri Tielemans, 24, moving to Liverpool after they failed to secure Champions League football.",Kevin Phillips,"['Leicester City', 'Liverpool']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530758.0
1 June 2021,"Arsenal and France midfielder Matteo Guendouzi, 22, is open to joining Ligue 1 side Marseille if the two clubs can agree a deal.",Matteo Guendouzi,"['Arsenal', 'Marseille']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530759.0
1 June 2021,"Southampton and Celtic are both interested in Newcastle goalkeeper Freddie Woodman, 24.",Freddie Woodman,"['Southampton', 'Celtic']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530760.0
1 June 2021,"Wolves and Portugal left wing-back Ruben Vinagre, 22 is interesting Sporting Lisbon.",Ruben Vinagre,"['Wolverhampton Wanderers', 'Sporting Lisbon']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530761.0
1 June 2021,"Sporting could also sign Manchester City and Venezuela midfielder Yangel Herrera, 23, who spent last season on loan at La Liga side Granada.",Yangel Herrera,"['Sporting', 'Manchester City', 'Granada']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530762.0
1 June 2021,"Lazio have made former Chelsea boss Maurizio Sarri, 62, their first-choice target, with the Italian set to replace Inter Milan-bound Simone Inzaghi, 45.",Maurizio Sarri,"['Chelsea', 'Lazio']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530763.0
1 June 2021,"Lazio have made former Chelsea boss Maurizio Sarri, 62, their first-choice target, with the Italian set to replace Inter Milan-bound Simone Inzaghi, 45.",Simone Inzaghi,['Inter Milan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530763.0
1 June 2021,"The agent of Inter Milan and Morocco defender Achraf Hakimi, 22, and Argentina striker Lautaro Martinez, 23, has said all players have a price#, with talk of the Italian champions needing to cut their budget.",Achraf Hakimi,['Inter Milan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530764.0
1 June 2021,"The agent of Inter Milan and Morocco defender Achraf Hakimi, 22, and Argentina striker Lautaro Martinez, 23, has said all players have a price#, with talk of the Italian champions needing to cut their budget.",Lautaro Martinez,['Argentina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530764.0
2 June 2021,Everton will consider Rangers manager Steven Gerrard and his former Liverpool boss Rafael Benitez as possible successors to Carlo Ancelotti.,Steven Gerrard,"['Everton', 'Rangers']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530765.0
2 June 2021,Everton will consider Rangers manager Steven Gerrard and his former Liverpool boss Rafael Benitez as possible successors to Carlo Ancelotti.,Rafael Benitez,"['Everton', 'Liverpool']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530765.0
2 June 2021,Everton will consider Rangers manager Steven Gerrard and his former Liverpool boss Rafael Benitez as possible successors to Carlo Ancelotti.,Carlo Ancelotti,['Everton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530765.0
2 June 2021,Ex-Liverpool defender Jamie Carragher believes the Anfield club's former manager Benitez is an ideal choice to take over at Goodison Park.,Jamie Carragher,"['Liverpool', 'Everton']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530766.0
2 June 2021,"However, Nuno is the favourite to take over at Crystal Palace after three days of talks with the Premier League club.",Nuno,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530768.0
2 June 2021,"Everton will wait until a new manager is in place before deciding the future of Moise Kean, with Paris St-Germain hoping to sign the 21-year-old Italy forward on another season-long loan.",Moise Kean,"['Everton', 'Paris St-Germain']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530769.0
2 June 2021,"Argentina forward Lionel Messi, 33, is close to agreeing a two-year deal to remain at Barcelona.",Lionel Messi,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530770.0
2 June 2021,"Arsenal are leading the race to sign Manchester City's England winger Raheem Sterling, 26, in a deal that could stop England striker Harry Kane, 27, joining City from Tottenham.",Raheem Sterling,"['Arsenal', 'Manchester City']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530771.0
2 June 2021,"Arsenal are leading the race to sign Manchester City's England winger Raheem Sterling, 26, in a deal that could stop England striker Harry Kane, 27, joining City from Tottenham.",Harry Kane,"['Tottenham', 'Manchester City']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530771.0
2 June 2021,"However, PSG are confident the Argentine will stay in the French capital and have triggered a 12-month extension in his contract.",Lionel Messi,['PSG'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530773.0
2 June 2021,"However, PSG are confident the Argentine will stay in the French capital and have triggered a 12-month extension in his contract.",Neymar,['PSG'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530773.0
